matrix_size,	elapsed_time
925,	0.119201
926,	0.134198
927,	0.127264
928,	0.119932
929,	0.177173
930,	0.136998
931,	0.147161
932,	0.136462
933,	0.127235
934,	0.118042
935,	0.141242
936,	0.123163
937,	0.141807
938,	0.179412
939,	0.144635
940,	0.119814
941,	0.129614
942,	0.129257
943,	0.153080
944,	0.124463
945,	0.141411
946,	0.172908
947,	0.144730
948,	0.141761
949,	0.134631
950,	0.126144
951,	0.153047
952,	0.123882
953,	0.129737
954,	0.173713
955,	0.128504
956,	0.127216
957,	0.130824
958,	0.189456
959,	0.169893
960,	0.127098
961,	0.182494
962,	0.164882
963,	0.133796
964,	0.126907
965,	0.158102
966,	0.152734
967,	0.178376
968,	0.149129
969,	0.131491
970,	0.151985
971,	0.133994
972,	0.136733
973,	0.164976
974,	0.137884
975,	0.160601
976,	0.201059
977,	0.195493
978,	0.136397
979,	0.140995
980,	0.134420
981,	0.156649
982,	0.137122
983,	0.141729
984,	0.146411
985,	0.204719
986,	0.137924
987,	0.143657
988,	0.163543
989,	0.190730
990,	0.143733
991,	0.168827
992,	0.164545
993,	0.197037
994,	0.281081
995,	0.161395
996,	0.192570
997,	0.149133
998,	0.170995
999,	0.158592
